Initial profile at 0515 UTC

%===================================================================
Altitude   Pot. Temperature   Mixing ratio       u             v
(agl m)          (K)          (g kg^{-1})    (m s^{-1})  (m s^{-1})
%===================================================================
1932           306.50           4.34           10.08           -1.53
1944           306.55           4.33           10.12           -1.53
1956           306.61           4.31           10.16           -1.54
1968           306.66           4.29           10.21           -1.55
1980           306.71           4.28           10.25           -1.56
1992           306.76           4.26           10.29           -1.56
2004           306.81           4.24           10.34           -1.57
2016           306.87           4.23           10.38           -1.58
2028           306.92           4.21           10.42           -1.59
2040           306.97           4.19           10.46           -1.59
2052           307.02           4.18           10.51           -1.60
2064           307.07           4.16           10.55           -1.61
2076           307.13           4.14           10.59           -1.62
2088           307.18           4.13           10.63           -1.62
2100           307.23           4.11           10.68           -1.63
2112           307.28           4.09           10.72           -1.64
2124           307.33           4.08           10.76           -1.65
2136           307.39           4.06           10.81           -1.66
2148           307.44           4.05           10.85           -1.66
2160           307.49           4.03           10.89           -1.67
2172           307.54           4.01           10.93           -1.68
2184           307.59           4.00           10.98           -1.69
2196           307.65           3.98           11.02           -1.69
2208           307.70           3.96           11.06           -1.70
2220           307.75           3.95           11.10           -1.71
2232           307.80           3.93           11.15           -1.72
2244           307.86           3.91           11.19           -1.73
2256           307.91           3.90           11.23           -1.73
2268           307.96           3.88           11.27           -1.74
2280           308.01           3.86           11.32           -1.75
2292           308.06           3.85           11.36           -1.76
2304           308.12           3.83           11.40           -1.76
2316           308.17           3.81           11.45           -1.77
2328           308.22           3.80           11.49           -1.78
2340           308.27           3.78           11.53           -1.79
2352           308.32           3.76           11.57           -1.80
2364           308.38           3.75           11.62           -1.80
2376           308.43           3.73           11.66           -1.81
2388           308.48           3.71           11.70           -1.82
2400           308.53           3.70           11.74           -1.83
2412           308.58           3.68           11.79           -1.83
2424           308.64           3.67           11.83           -1.84
2436           308.69           3.65           11.87           -1.85
2448           308.74           3.63           11.92           -1.86
2460           308.79           3.62           11.96           -1.87
2472           308.84           3.60           12.00           -1.87
2484           308.90           3.58           12.04           -1.88
2496           308.95           3.57           12.09           -1.89
2508           309.00           3.55           12.13           -1.90
2520           309.05           3.53           12.17           -1.91
2532           309.10           3.52           12.21           -1.91
2544           309.16           3.50           12.26           -1.92
2556           309.21           3.48           12.30           -1.93
2568           309.26           3.47           12.34           -1.94
2580           309.31           3.45           12.38           -1.95
2592           309.37           3.43           12.43           -1.95
2604           309.42           3.42           12.47           -1.96
2616           309.47           3.40           12.51           -1.97
2628           309.52           3.38           12.55           -1.98
2640           309.57           3.37           12.60           -1.99
