alt_agl;ta;pa;hur;u;v
2.0;293.62664794921875;94923.3046875;85.11332702636719;0.9031420548756918;1.0433681011199951
6.0;293.88067626953125;94923.3046875;84.19332996868816;2.709426164627075;1.0433681011199951
60.0;293.79999999999995;94782.0;87.06000000000002;5.400083084758423;1.1498841047286987
83.5999984741211;293.6095886230469;94010.0;91.48642840170459;6.575999736785889;1.2564001083374023
217.2615966796875;293.3135986328125;92570.0;94.20723195004781;12.257599830627441;-1.3652000427246094
326.15399169921875;294.2972106933594;91415.203125;96.73036674822959;11.756400108337402;-1.650399923324585
410.8135986328125;294.5196228027344;90530.3984375;91.73825663358504;10.650799751281738;-2.562000036239624
492.0940246582031;294.4232177734375;89689.6015625;89.43829636792739;10.182000160217285;-2.75
579.4268188476562;294.3464050292969;88792.0;87.24879178817437;9.825200080871582;-3.468400001525879
665.3779907226562;294.527587890625;87919.6015625;77.53650127743128;9.086400032043457;-4.191199779510498
751.8867797851562;295.2716064453125;87048.796875;52.55780817722581;8.809599876403809;-3.9976000785827637
841.3836059570312;295.5776062011719;86158.3984375;40.539141366216555;7.346400260925293;-3.2435998916625977
934.463623046875;295.6507873535156;85240.0;36.24329884790221;5.109600067138672;-2.767199993133545
1027.835205078125;295.14599609375;84328.796875;33.68320214445385;3.8264000415802;-2.4924001693725586
1120.6776123046875;294.4007873535156;83428.3984375;34.22536270823861;3.030400037765503;-2.7344000339508057
1184.284423828125;293.85443115234375;82818.890625;34.89905735190108;2.3499999046325684;-2.30222225189209
1707.444580078125;289.5782470703125;77944.4765625;36.63500887247022;0.5230451226234436;0.16774435341358185
2766.022705078125;281.5586853027344;68705.90625;43.80515227730457;0.6027516722679138;3.27422833442688
3953.721923828125;275.2520751953125;59407.66015625;51.19522005707713;5.215551853179932;4.354715824127197
5120.1201171875;268.3224792480469;51328.91796875;71.88214225688671;8.528818130493164;2.806790590286255
6294.71435546875;261.2674865722656;44124.6328125;67.55736054958793;10.393400192260742;0.6473333239555359
7449.18017578125;252.78781127929688;37856.1015625;67.42201656324025;14.104900360107422;-0.6917333602905273
8669.712890625;244.75039672851562;32014.56640625;19.203555051438283;11.288832664489746;-0.9091000556945801
9894.76171875;234.65286254882812;26897.6328125;24.265470416654072;13.577300071716309;0.11480000615119934
11148.0546875;224.10008239746094;22313.0;42.81190880763137;13.964599609375;-4.703199863433838
12364.0859375;215.4578399658203;18469.099609375;27.426714569069233;13.764933586120605;-5.7191667556762695
13434.501953125;210.41757202148438;15543.3173828125;18.11771981866535;10.846048355102539;-6.050780773162842
