alt_agl;ta;pa;hur;u;v
2.0;293.62664794921875;94923.3046875;85.11332702636719;-0.14417677764679235;1.0433681011199951
6.0;293.88067626953125;94923.3046875;84.19326069398477;1.833608890295598;1.0433681011199951
15.0;293.78;94782.0;86.93000000000002;3.4831686993945663;1.0859745025634766
30.0;293.56;94782.0;85.6;4.731012523486619;1.128580904006958
45.0;293.60999999999996;94782.0;86.15;5.460954367336957;1.1711873054504394
60.0;293.79999999999995;94782.0;87.06000000000002;5.978856347578672;1.2137937068939209
83.60000610351562;293.6095886230469;94010.0;87.04941227578622;6.576000213623047;1.2564001083374023
217.2615966796875;293.3135986328125;92570.0;84.94164490996441;12.257599830627441;-1.3652000427246094
326.15399169921875;294.2972106933594;91415.203125;77.33399174731422;11.756400108337402;-1.6504000425338745
410.8135986328125;294.51959228515625;90530.3984375;73.62060879088924;10.650799751281738;-2.562000036239624
492.0940246582031;294.4231872558594;89689.6015625;69.95762275619568;10.182000160217285;-2.75
579.4268188476562;294.3464050292969;88792.0;64.31610284450464;9.825200080871582;-3.468400001525879
665.3779907226562;294.527587890625;87919.6015625;57.42451314298269;9.086400032043457;-4.191200256347656
751.8867797851562;295.2716064453125;87048.796875;50.10688576472526;8.809599876403809;-3.9976000785827637
841.3836059570312;295.5776062011719;86158.3984375;40.539141366216555;7.346399784088135;-3.2435998916625977
934.463623046875;295.6507873535156;85240.0;36.24329884790221;5.109600067138672;-2.767199993133545
1027.835205078125;295.14599609375;84328.796875;33.68320451484785;3.8264000415802;-2.4923999309539795
1120.6776123046875;294.4007873535156;83428.3984375;34.22536270823861;3.030400037765503;-2.7344000339508057
1184.284423828125;293.85443115234375;82818.890625;34.89905735190108;2.3499999046325684;-2.30222225189209
1707.4444580078125;289.5782470703125;77944.4765625;36.63500887247022;0.5230451226234436;0.16774435341358185
2766.022705078125;281.5586853027344;68705.90625;43.80515227730457;0.6027516722679138;3.274228096008301
3953.72216796875;275.2520751953125;59407.66015625;51.195223170328006;5.215551853179932;4.354715824127197
5120.12060546875;268.3224792480469;51328.91796875;71.88214414177163;8.528817176818848;2.806790590286255
6294.71484375;261.2674865722656;44124.6328125;67.55736054958793;10.393400192260742;0.6473333239555359
7449.18017578125;252.7877960205078;37856.1015625;67.42201656324025;14.104900360107422;-0.6917333602905273
8669.712890625;244.75039672851562;32014.56640625;19.203555051438283;11.288833618164062;-0.9090999960899353
9894.76171875;234.65286254882812;26897.6328125;24.265470416654072;13.577300071716309;0.11479999870061874
11148.0546875;224.10006713867188;22313.0;42.81190880763137;13.964599609375;-4.703199863433838
12364.0859375;215.4578399658203;18469.099609375;27.42671670217936;13.764933586120605;-5.7191667556762695
13434.501953125;210.4175567626953;15543.3173828125;18.117727207049157;10.846048355102539;-6.050780296325684
