time LEcorr Hcorr ustar Tsoil
"2023-08-19 05:00:00" 0.001199037799163729 -56.411351473101895 0.4250322 292.99601881377487
"2023-08-19 05:30:00" 0.0013130584383561834 -48.1908501067782 0.33113223 292.9008484331621
"2023-08-19 06:00:00" 0.00046247040922860276 -12.515341697093799 0.2532707 293.1549052092296
"2023-08-19 06:30:00" 65.41196148028156 -15.982254906795234 0.38374382 293.8570834931692
"2023-08-19 07:00:00" 84.89405636066665 17.719041783864604 0.36824122 294.63651027848675
"2023-08-19 07:30:00" 130.40080177496714 54.41543662835317 0.36399126 295.55540098820734
"2023-08-19 08:00:00" 181.30333556798024 75.6439605745979 0.44319758 296.38664694188856
"2023-08-19 08:30:00" 223.64989757306432 102.41098499529505 0.35703778 297.48905051154986
"2023-08-19 09:00:00" 278.7348343074401 113.4154647648255 0.391032 298.2510951892132
"2023-08-19 09:30:00" 330.7590891038347 117.0667165602278 0.42053843 299.1896752979083
"2023-08-19 10:00:00" 370.78242602012386 122.23286328651675 0.41888472 300.017203983017
"2023-08-19 10:30:00" 401.38454446309873 126.2349623728388 0.45916235 300.8951666280577
"2023-08-19 11:00:00" 413.4072730862439 136.86299058563108 0.3099689 301.6041257165062
"2023-08-19 11:30:00" 414.4543639203598 149.82523813042147 0.35816303 302.43568126491743
"2023-08-19 12:00:00" 420.50500021235075 150.1767014478055 0.3387236 303.16678073591305
"2023-08-19 12:30:00" 422.6255829985753 144.6631743256435 0.3129313 303.61802507411585
"2023-08-19 13:00:00" 414.34263268464497 141.13344153410503 0.2743342 304.0436359962766
"2023-08-19 13:30:00" 418.7370875178504 116.55209705246212 0.26103482 304.20704742212877
"2023-08-19 14:00:00" 401.6149468934042 101.55833191518956 0.23698288 304.2599746393009
"2023-08-19 14:30:00" 371.14470829918736 90.7214416031564 0.21088444 304.3771549750933
"2023-08-19 15:00:00" 342.75809005957683 71.49651809472006 0.24534887 304.2632049001433
"2023-08-19 15:30:00" 295.45142016464104 59.558040284577714 0.2501109 304.04865578338877
"2023-08-19 16:00:00" 252.35350213829918 40.53370489295083 0.16042106 303.6363690856014
"2023-08-19 16:30:00" 208.2513933022585 16.455393807116522 0.16667747 303.1616563371154
"2023-08-19 17:00:00" 149.01168294707006 5.5024772091799585 0.107832424 302.407849336797
"2023-08-19 17:30:00" 85.17745852919545 -3.733526949605601 0.17121688 301.48087741414446
"2023-08-19 18:00:00" 17.31744155097868 -2.4777294080343415 0.0914396 300.40505991504307
"2023-08-19 18:30:00" 0.07192966634468458 -29.42362377340035 0.040578507 298.4673580882935
"2023-08-19 19:00:00" 0.04093887679739641 -46.5005221592681 0.028199574 296.2193066954076
"2023-08-19 19:30:00" 0.11254825741245762 -45.68740024715855 0.03477883 295.0767535481811
"2023-08-19 20:00:00" 0.0 -39.06917402213279 0.025291648 294.3718269727729
"2023-08-19 20:30:00" 0.012966175149970786 -36.67002107627302 0.051457383 294.16773036267926
"2023-08-19 21:00:00" 0.014710438830612595 -37.625905049426315 0.055833995 293.94361327978686
"2023-08-19 21:30:00" 0.0007893037156303072 -37.074973721440244 0.14649929 293.99317365645373
"2023-08-19 22:00:00" 0.00359277959241923 -36.832099249318986 0.12193602 293.8369548383262
"2023-08-19 22:30:00" 0.0020093457682706117 -34.55586905646163 0.16448876 293.73212846111574
"2023-08-19 23:00:00" 0.0010884268820616865 -34.147416399294166 0.121575505 293.6547819861796
"2023-08-19 23:30:00" 0.0018965476683002699 -34.22602527081283 0.1239237 293.5317759760981
"2023-08-20 00:00:00" 0.0 -32.619792290933056 0.10683099 293.08139989937024
"2023-08-20 00:30:00" 0.0 -28.760337050726903 0.06326953 292.61128863651504
"2023-08-20 01:00:00" 0.0 -29.407121132341256 0.06610147 292.5094654506426
"2023-08-20 01:30:00" 0.015695924140384756 -27.781916016913822 0.07425912 292.21328363477664
"2023-08-20 02:00:00" 0.05945954676716133 -28.678928235732002 0.026742306 291.9856132932206
"2023-08-20 02:30:00" 0.011079180702240869 -26.796981204017673 0.026204346 291.77645517411923
"2023-08-20 03:00:00" 0.0 -28.48719737107163 0.05425474 291.8079900775714
"2023-08-20 03:30:00" 0.0 -29.055413535380627 0.07077303 291.7736062791549
"2023-08-20 04:00:00" 0.0 -28.02218532220762 0.0513895 291.33307074991467
"2023-08-20 04:30:00" 0.0020814795625958135 -33.931635465158294 0.16442576 291.6793800055135
"2023-08-20 05:00:00" 0.0037228702072293492 -35.66402407870333 0.0903338 291.41892735483856
"2023-08-20 05:30:00" 0.0029536898455972014 -21.14340321377138 0.12365457 291.2519555197457
"2023-08-20 06:00:00" 0.0 21.31200769686803 0.048393395 291.86398630567624
"2023-08-20 06:30:00" 0.02348563537390762 51.96508171692101 0.15718065 292.8330734917333
"2023-08-20 07:00:00" 69.22508534828239 44.48647013267465 0.14006147 293.7457353592578
"2023-08-20 07:30:00" 111.27502350712679 75.75438017939665 0.16204149 295.2330728068831
"2023-08-20 08:00:00" 167.91480795361545 86.77601846240016 0.14742461 297.0942514952213
"2023-08-20 08:30:00" 233.7722178224333 88.49130146467606 0.08843742 299.0216053005263
"2023-08-20 09:00:00" 280.43464963570875 103.69971926077564 0.21337353 300.46914493042726
"2023-08-20 09:30:00" 316.86418754165237 121.91767280991013 0.30752066 301.66332963019426
"2023-08-20 10:00:00" 358.8607566566717 125.96254656598451 0.29538184 302.64454129921705
"2023-08-20 10:30:00" 385.940063148619 134.15435823809977 0.3405612 303.4348096075554
"2023-08-20 11:00:00" 399.7368792233279 144.71459782745336 0.31518883 304.32531843380394
