# Pressure               Wind direction          Wind speed
  98902.42828596172      184.05405405405406      0.9190683534759306
  97744.95994805175      188.3783783783784       1.8942260735607486
  96672.13891576389      192.43243243243242      2.798745829686174
  95540.7719524624       196.75675675675677      3.748019473538883
  94492.14346413837      200.8108108108108       4.618683458498117
  93386.28927899383      205.13513513513513      5.521810570692621
  92293.37705319078      209.45945945945945      6.393498837263743
  91280.39105272427      213.51351351351352      7.177737402589912
  90212.12443534572      217.83783783783784      7.974573545466603
  89156.35988497896      222.16216216216216      8.726005851431735
  88112.95108826271      225.04364333860184      9.199398188748178
  87145.84826071355      225.1623329883446       9.218543513890383
  86125.96875026882      225.28839251067103      9.239008609742807
  85118.02502605581      225.41389420035483      9.259518230829089
  84121.87740197292      225.53884055563105      9.280072081937407
  83137.38782668361      225.6632340738024       9.300669869831697
  82164.41986448456      225.7870772509687       9.321311303243743
  81202.83867639778      225.91037258176175      9.341996092865122
  80252.51100148381      226.03312255908696      9.362723951339063
  79254.97107146733      226.16294965063443      9.38479417243427
  78327.43955149336      226.28458270078954      9.405609961187272
  77410.76305687506      226.40567801863955      9.426467950815804
  76504.81454979982      226.5262380875396       9.447367861805372
  75553.85854356943      226.6537494611574       9.469619640120769
  74669.6416382144       226.77321340918687      9.49060513930669
  73741.49685913374      226.89956574843018      9.512947234374998
  72878.49026481889      227.01794409795212      9.53401715746487
  71972.60952449999      227.14314856597713      9.556448340993805
  71130.30445509865      227.26045180670167      9.577601540159879
  70246.15369093281      227.38451953000757      9.600120601263406
  69424.05356491644      227.50075811534415      9.621355944977282
  68561.11152521719      227.6237001799994       9.643961689998527
  67708.89586817124      227.74606667215204      9.666611630112925
  66867.27326467936      227.86786051584045      9.689305455386124
  66036.11204292509      227.98908462850042      9.71204285818292
  65263.282597045734     228.10266007145066      9.733482301043741
  64452.05900363943      228.22278653816713      9.75630342586877
  63650.91893181388      228.34235181416625      9.779167236609224
  62859.73704324279      228.4613587887359       9.802073434564218
  62078.38955755712      228.5798103435137       9.825021723267255
  61306.75423297972      228.69770935229369      9.84801180847297
  60500.180376118595     228.82194452556115      9.872399483857315
  59748.16221562437      228.93871495419188      9.895474703560106
  59005.49165228105      229.05494157663202      9.918590833369198
  58272.052495314165     229.17062723297565      9.941747587917257
  57505.40427332957      229.2925314400535       9.966310469346137
  56790.61122525503      229.40711224814362      9.989549973659665
  56084.703065618916     229.5211607226027       10.012829243133773
  55346.83240473482      229.64134082130303      10.037520916564747
  54658.87043775497      229.75430213258207      10.060881186514832
  53939.758547193705     229.87333737626778      10.085658011481035
  53230.1075530433       229.9917886915195       10.1104781551261
  52568.456508102776     230.1031261663756       10.133958890703779
  51876.846860104684     230.22045144662886      10.15886235639937
  51194.33627905619      230.33720242368693      10.183808211048023
  50557.98990195521      230.44694282819702      10.207406826765554
  49892.83068058464      230.5625863795669       10.232434217101256
  49236.42253477367      230.6776651426653       10.257503088610605
  48588.650332203644     230.79218232323888      10.282613137901986
  47949.40045527834      230.9061411137705       10.307764064044152
  5414.34                230.9061411137705       10.307764064044152

