z[m]	p[mb]	tls[K/s]	q[kg/kg/s]	u[m/s]	v[m/s]	w[m/s]
787.848118 -999.000000 -6.661e-06 2.532e-08 -3.827590 -0.393462 0.002464
1025.085200 -999.000000 -1.303e-05 3.840e-08 -5.889200 -1.012520 0.003693
1267.744345 -999.000000 -1.570e-05 3.429e-08 -7.738320 -1.555520 0.004800
1516.337774 -999.000000 -1.550e-05 2.916e-08 -8.755210 -2.278230 0.005246
1770.868611 -999.000000 -1.200e-05 2.304e-08 -8.587720 -2.998090 0.004959
2031.746009 -999.000000 -1.082e-05 1.503e-08 -7.845180 -3.486250 0.004509
2299.479067 -999.000000 -8.402e-06 2.373e-09 -7.085200 -3.445260 0.004311
2574.270801 -999.000000 -3.114e-06 -1.438e-08 -6.464140 -3.081590 0.004160
2856.945763 -999.000000 1.034e-06 -2.801e-08 -6.190020 -2.585540 0.003711
3147.706970 -999.000000 4.746e-06 -3.842e-08 -6.021250 -2.094570 0.003063
3447.269657 -999.000000 8.704e-06 -4.243e-08 -6.320990 -1.720000 0.002587
3756.249117 -999.000000 1.135e-05 -4.544e-08 -6.642990 -1.367600 0.002367
4075.360586 -999.000000 8.112e-06 -3.497e-08 -6.709310 -1.048370 0.002151
4405.116289 -999.000000 2.891e-06 -2.548e-08 -6.650280 -0.809536 0.001831
4746.737438 -999.000000 -4.793e-06 -1.619e-08 -6.185150 -0.949727 0.001469
5101.364039 -999.000000 -1.001e-05 -8.132e-09 -5.697410 -1.224210 0.000899
5469.904977 -999.000000 -6.927e-06 -1.053e-08 -5.456240 -1.752500 -0.000319
5853.494011 -999.000000 -3.115e-06 -1.182e-08 -5.309610 -2.280210 -0.002495
6253.458547 -999.000000 -3.257e-06 -9.614e-09 -5.298960 -2.585220 -0.005666
6671.225937 -999.000000 -4.756e-06 -6.753e-09 -5.071380 -2.858310 -0.009561
7108.445287 -999.000000 -7.389e-06 -6.498e-10 -4.026030 -3.221340 -0.013594
7567.256063 -999.000000 -8.655e-06 6.392e-10 -2.865360 -3.445580 -0.017078
8049.604087 -999.000000 -5.748e-06 2.626e-09 -2.097470 -3.196830 -0.019615
8557.948961 -999.000000 -2.383e-06 3.051e-09 -1.712630 -2.591300 -0.021951
9095.666983 -999.000000 -5.707e-07 7.417e-10 -1.941710 -1.509550 -0.025563
9666.954316 -999.000000 -2.959e-07 9.030e-10 -2.329170 -0.559664 -0.030065
10276.108631 -999.000000 -2.509e-06 1.316e-09 -2.525260 -0.316915 -0.032799
10928.861198 -999.000000 -5.691e-06 1.146e-09 -2.690130 -0.177050 -0.031985
11632.889108 -999.000000 -2.578e-06 1.185e-09 -3.112190 0.744402 -0.029331
12398.632016 -999.000000 7.261e-06 -1.002e-10 -2.845080 1.538210 -0.026801
13241.542487 -999.000000 3.517e-06 -1.258e-10 0.623894 0.550786 -0.021658
14183.727293 -999.000000 8.242e-06 7.153e-11 4.687530 0.538526 -0.012167
15261.209103 -999.000000 3.048e-06 -6.743e-12 2.854180 2.158560 -0.003416
16549.726567 -999.000000 5.457e-06 6.890e-12 2.525440 3.370590 -0.000000
18198.701849 -999.000000 -0.000e+00 -0.000e+00 2.273160 2.884400 -0.000000
 278.541667,	40.000000,	1010.000000,	day,	nlevels,	pres0
90.327721 -999.000000 4.779e-06 2.459e-10 -0.836065 0.818429 0.000000
100.327721 -999.000000 4.779e-06 2.459e-10 -0.836065 0.818429 0.000000
110.327721 -999.000000 4.779e-06 2.459e-10 -0.836065 0.818429 0.000196
332.719722 -999.000000 3.225e-06 4.571e-09 -1.260630 0.943423 0.000435
559.315694 -999.000000 1.855e-06 2.827e-09 -2.093780 0.415127 0.001029
791.021399 -999.000000 -6.912e-06 2.473e-08 -3.883460 -0.401785 0.002050
1028.152289 -999.000000 -1.389e-05 3.647e-08 -5.985580 -1.020400 0.003268
1270.914502 -999.000000 -1.641e-05 3.356e-08 -7.792240 -1.584300 0.004234
1519.304916 -999.000000 -1.468e-05 2.708e-08 -8.762970 -2.327040 0.004419
1773.938822 -999.000000 -1.059e-05 1.924e-08 -8.543190 -3.076540 0.003848
2034.713151 -999.000000 -9.824e-06 1.280e-08 -7.783290 -3.617410 0.003278
2302.443086 -999.000000 -7.886e-06 3.164e-09 -7.021760 -3.606400 0.003192
2577.237943 -999.000000 -3.927e-06 -1.119e-08 -6.410100 -3.233160 0.003314
2859.816083 -999.000000 -8.609e-07 -2.468e-08 -6.166640 -2.717090 0.003221
3150.677235 -999.000000 2.179e-06 -3.493e-08 -6.033370 -2.205710 0.002959
3450.236799 -999.000000 6.467e-06 -3.899e-08 -6.382910 -1.814430 0.002894
3759.216259 -999.000000 9.546e-06 -4.190e-08 -6.754540 -1.445170 0.003133
4078.224660 -999.000000 6.963e-06 -3.287e-08 -6.854950 -1.104530 0.003488
4408.183377 -999.000000 2.322e-06 -2.471e-08 -6.816250 -0.842884 0.003859
4749.810772 -999.000000 -5.680e-06 -1.506e-08 -6.314580 -0.955584 0.004278
5104.331182 -999.000000 -1.151e-05 -6.840e-09 -5.778910 -1.205930 0.004534
5472.772173 -999.000000 -9.205e-06 -9.153e-09 -5.491940 -1.728080 0.004132
5856.361207 -999.000000 -5.829e-06 -1.033e-08 -5.300950 -2.256170 0.002665
6256.322620 -999.000000 -5.213e-06 -9.097e-09 -5.250480 -2.569990 -0.000034
6674.093133 -999.000000 -5.737e-06 -6.716e-09 -4.988350 -2.840210 -0.003767
7111.512375 -999.000000 -7.876e-06 -4.370e-10 -3.919320 -3.155100 -0.007924
7570.223206 -999.000000 -8.954e-06 8.945e-10 -2.745810 -3.317640 -0.011761
8052.674298 -999.000000 -6.026e-06 2.858e-09 -1.984900 -3.008140 -0.014773
8561.223749 -999.000000 -2.592e-06 3.289e-09 -1.634670 -2.361300 -0.017685
9099.043279 -999.000000 -2.966e-07 7.456e-10 -1.949490 -1.285760 -0.022049
9670.433681 -999.000000 1.304e-07 8.711e-10 -2.388250 -0.367267 -0.027488
10279.587996 -999.000000 -2.014e-06 1.208e-09 -2.514450 -0.169808 -0.031211
10932.545140 -999.000000 -5.346e-06 1.044e-09 -2.639840 -0.057021 -0.031243
11636.574611 -999.000000 -2.393e-06 1.254e-09 -3.144310 0.961262 -0.029180
12402.622042 -999.000000 5.236e-06 -4.767e-11 -2.813830 1.809010 -0.026636
13245.941666 -999.000000 3.170e-06 -1.238e-10 0.882755 0.818702 -0.020822
14188.537187 -999.000000 8.755e-06 9.750e-11 4.921620 0.725109 -0.010822
15266.326643 -999.000000 3.072e-06 -1.234e-11 2.766580 2.370370 -0.002659
16555.253260 -999.000000 4.197e-06 8.823e-12 2.289170 3.519310 0.000000
18205.046848 -999.000000 -0.000e+00 -0.000e+00 2.089140 3.035490 0.000000
 278.562500,	40.000000,	1010.000000,	day,	nlevels,	pres0
90.736874 -999.000000 5.321e-06 -1.555e-09 -0.884652 0.634219 0.000000
100.736874 -999.000000 5.321e-06 -1.555e-09 -0.884652 0.634219 0.000000
110.736874 -999.000000 5.321e-06 -1.555e-09 -0.884652 0.634219 0.000459
333.438082 -999.000000 5.108e-06 1.600e-09 -1.285180 0.731049 0.000935
560.233947 -999.000000 3.849e-06 2.592e-09 -2.066830 0.354454 0.001593
791.942775 -999.000000 -5.744e-06 2.305e-08 -3.952610 -0.402542 0.002572
1029.176733 -999.000000 -1.289e-05 3.426e-08 -6.077170 -0.997304 0.003723
1271.835878 -999.000000 -1.472e-05 3.433e-08 -7.788220 -1.575860 0.004532
1520.326238 -999.000000 -1.086e-05 2.392e-08 -8.679930 -2.327360 0.004494
1774.857074 -999.000000 -7.694e-06 1.437e-08 -8.400360 -3.071330 0.003839
2035.737596 -999.000000 -8.919e-06 1.066e-08 -7.628950 -3.610370 0.003404
2303.467531 -999.000000 -8.316e-06 3.269e-09 -6.886940 -3.587620 0.003588
2578.365457 -999.000000 -5.435e-06 -8.896e-09 -6.310700 -3.182160 0.003984
2860.940474 -999.000000 -2.896e-06 -2.052e-08 -6.099610 -2.635640 0.004115
3151.801626 -999.000000 -2.592e-07 -2.972e-08 -5.999580 -2.097350 0.004004
3451.467382 -999.000000 3.833e-06 -3.405e-08 -6.392780 -1.699890 0.003986
3760.549911 -999.000000 6.931e-06 -3.702e-08 -6.807050 -1.327890 0.004221
4079.658258 -999.000000 5.924e-06 -2.977e-08 -6.937160 -0.986035 0.004648
4409.517030 -999.000000 3.020e-06 -2.303e-08 -6.918340 -0.720996 0.005249
4751.244371 -999.000000 -4.318e-06 -1.431e-08 -6.398530 -0.818872 0.006040
5105.764780 -999.000000 -9.813e-06 -6.946e-09 -5.832690 -1.050940 0.006785
5474.205771 -999.000000 -7.793e-06 -9.030e-09 -5.496200 -1.550460 0.006940
5857.791682 -999.000000 -4.664e-06 -1.004e-08 -5.255090 -2.066050 0.006043
6257.756218 -999.000000 -3.342e-06 -9.492e-09 -5.168430 -2.408580 0.003872
6675.526732 -999.000000 -2.951e-06 -7.514e-09 -4.880330 -2.705380 0.000584
7112.842904 -999.000000 -4.592e-06 -1.548e-09 -3.806880 -3.003840 -0.003256
7571.653681 -999.000000 -5.757e-06 -2.246e-10 -2.642980 -3.133550 -0.006986
8054.004827 -999.000000 -3.701e-06 2.165e-09 -1.913960 -2.782780 -0.010227
8562.657348 -999.000000 -1.192e-06 2.926e-09 -1.614260 -2.112960 -0.013717
9100.683015 -999.000000 4.277e-07 6.275e-10 -2.006760 -1.067340 -0.018878
9672.174925 -999.000000 4.023e-07 1.036e-09 -2.506210 -0.209766 -0.025097
10281.635324 -999.000000 -1.497e-06 1.237e-09 -2.631230 -0.093770 -0.029235
10934.595591 -999.000000 -4.526e-06 1.017e-09 -2.778550 -0.022319 -0.029303
11638.929585 -999.000000 -1.009e-06 1.156e-09 -3.356360 1.063460 -0.026979
12405.080085 -999.000000 4.104e-06 -9.284e-11 -2.908750 1.894100 -0.023826
13248.707355 -999.000000 3.222e-06 -1.277e-10 1.006070 0.827707 -0.017225
14191.605837 -999.000000 1.002e-05 1.093e-10 5.091090 0.647837 -0.007427
15269.601431 -999.000000 4.131e-06 -1.223e-11 2.821370 2.264860 -0.001146
16557.915880 -999.000000 4.409e-06 7.324e-12 2.301480 3.391860 0.000000
18206.992669 -999.000000 -0.000e+00 -0.000e+00 2.113760 2.948690 0.000000
 278.583333,	40.000000,	1010.000000,	day,	nlevels,	pres0
91.042958 -999.000000 5.418e-06 -2.220e-09 -0.931906 0.448921 0.000000
101.042958 -999.000000 5.418e-06 -2.220e-09 -0.931906 0.448921 0.000000
111.042958 -999.000000 5.418e-06 -2.220e-09 -0.931906 0.448921 0.000359
334.153320 -999.000000 6.253e-06 -7.848e-10 -1.306990 0.516921 0.000663
561.152199 -999.000000 5.009e-06 2.352e-09 -2.037290 0.291864 0.001013
792.964096 -999.000000 -4.957e-06 2.029e-08 -4.016170 -0.400779 0.001683
1030.098109 -999.000000 -1.263e-05 3.051e-08 -6.163020 -0.971398 0.002574
1272.860323 -999.000000 -1.429e-05 3.266e-08 -7.781580 -1.563710 0.003042
1521.350682 -999.000000 -8.750e-06 1.797e-08 -8.598980 -2.322850 0.002631
1775.881519 -999.000000 -6.566e-06 6.882e-09 -8.261840 -3.061420 0.001776
2036.858863 -999.000000 -9.474e-06 6.057e-09 -7.480080 -3.598970 0.001417
2304.591922 -999.000000 -9.980e-06 1.294e-09 -6.758900 -3.565010 0.001869
2579.492971 -999.000000 -8.076e-06 -8.171e-09 -6.219320 -3.128240 0.002606
2862.167934 -999.000000 -5.892e-06 -1.756e-08 -6.041670 -2.552100 0.003104
3153.032209 -999.000000 -3.483e-06 -2.546e-08 -5.976120 -1.987410 0.003371
3452.694842 -999.000000 3.822e-07 -2.985e-08 -6.411430 -1.585590 0.003714
3761.777371 -999.000000 3.476e-06 -3.272e-08 -6.867050 -1.212470 0.004313
4080.988787 -999.000000 3.943e-06 -2.735e-08 -7.025020 -0.869716 0.005174
4410.947505 -999.000000 2.627e-06 -2.215e-08 -7.024600 -0.601736 0.006315
4752.574900 -999.000000 -3.929e-06 -1.414e-08 -6.486330 -0.683957 0.007757
5107.198378 -999.000000 -9.007e-06 -7.434e-09 -5.889920 -0.897149 0.009233
5475.533177 -999.000000 -7.232e-06 -9.179e-09 -5.504670 -1.373760 0.010199
5859.019142 -999.000000 -4.236e-06 -9.992e-09 -5.213920 -1.876510 0.010148
6258.983678 -999.000000 -2.021e-06 -1.025e-08 -5.091110 -2.247640 0.008789
6676.751068 -999.000000 -5.641e-07 -8.741e-09 -4.777050 -2.570940 0.006223
7114.070364 -999.000000 -1.754e-06 -2.863e-09 -3.696760 -2.853240 0.002950
7572.984210 -999.000000 -3.104e-06 -1.382e-09 -2.540650 -2.950370 -0.000467
8055.539933 -999.000000 -1.836e-06 1.492e-09 -1.842360 -2.557280 -0.003755
8564.190892 -999.000000 -1.406e-07 2.566e-09 -1.592480 -1.863630 -0.007658
9102.321190 -999.000000 7.979e-07 6.061e-10 -2.062220 -0.849174 -0.013440
9674.016115 -999.000000 3.274e-07 1.309e-09 -2.622310 -0.053149 -0.020238
10283.581145 -999.000000 -1.236e-06 1.298e-09 -2.747540 -0.018256 -0.024641
10936.744427 -999.000000 -3.981e-06 9.892e-10 -2.917510 0.011823 -0.024605
11641.076859 -999.000000 -2.289e-07 1.046e-09 -3.568180 1.165010 -0.022027
12407.536566 -999.000000 2.413e-06 -1.249e-10 -3.003670 1.978350 -0.018470
13251.468359 -999.000000 3.286e-06 -1.361e-10 1.128950 0.836131 -0.011696
14194.777556 -999.000000 1.065e-05 1.184e-10 5.259830 0.570162 -0.003029
15272.568573 -999.000000 4.929e-06 -1.248e-11 2.876050 2.159200 0.000623
16560.575377 -999.000000 4.516e-06 5.657e-12 2.313790 3.264410 -0.000000
18208.936928 -999.000000 -0.000e+00 -0.000e+00 2.138380 2.861900 -0.000000
 278.604167,	40.000000,	1010.000000,	day,	nlevels,	pres0
87.975870 -999.000000 4.433e-06 -2.924e-09 -1.008160 0.238852 0.000000
97.975870 -999.000000 4.433e-06 -2.924e-09 -1.008160 0.238852 0.000000
107.975870 -999.000000 4.433e-06 -2.924e-09 -1.008160 0.238852 0.000142
331.389193 -999.000000 5.538e-06 -2.616e-09 -1.368150 0.279242 0.000187
558.800349 -999.000000 5.207e-06 9.606e-10 -2.035410 0.142275 0.000155
790.818384 -999.000000 -4.746e-06 1.971e-08 -4.010240 -0.389568 0.000298
1028.052343 -999.000000 -1.484e-05 3.053e-08 -6.235410 -0.965931 0.000603
1270.811433 -999.000000 -1.632e-05 2.845e-08 -7.822610 -1.584430 0.000551
1519.304916 -999.000000 -1.069e-05 8.090e-09 -8.531760 -2.320210 -0.000162
1773.938822 -999.000000 -1.080e-05 -1.994e-09 -8.163260 -3.027750 -0.001037
2034.916166 -999.000000 -1.478e-05 1.017e-09 -7.422190 -3.533610 -0.001252
2302.752294 -999.000000 -1.540e-05 -1.596e-09 -6.756300 -3.469700 -0.000605
2577.650220 -999.000000 -1.468e-05 -7.162e-09 -6.245400 -2.983680 0.000385
2860.428252 -999.000000 -1.216e-05 -1.405e-08 -6.061040 -2.366550 0.001238
3151.395596 -999.000000 -9.473e-06 -2.011e-08 -5.985110 -1.766180 0.001945
3451.158175 -999.000000 -5.578e-06 -2.524e-08 -6.408030 -1.360380 0.002747
3760.243827 -999.000000 -2.331e-06 -2.895e-08 -6.851500 -0.990789 0.003776
4079.555189 -999.000000 -1.367e-06 -2.579e-08 -6.995210 -0.671743 0.005003
4409.616975 -999.000000 -2.064e-06 -2.224e-08 -6.980310 -0.426973 0.006457
4751.347440 -999.000000 -7.246e-06 -1.446e-08 -6.427000 -0.509600 0.008199
5105.867849 -999.000000 -1.106e-05 -7.981e-09 -5.814660 -0.717041 0.010023
5474.308841 -999.000000 -8.989e-06 -8.937e-09 -5.412210 -1.178650 0.011428
5857.894751 -999.000000 -6.072e-06 -9.157e-09 -5.099740 -1.677330 0.011941
6257.756218 -999.000000 -3.595e-06 -1.033e-08 -4.941460 -2.094190 0.011281
6675.526732 -999.000000 -1.605e-06 -9.537e-09 -4.594670 -2.470430 0.009478
7112.842904 -999.000000 -2.121e-06 -3.355e-09 -3.499890 -2.786150 0.006921
7571.756750 -999.000000 -3.170e-06 -1.641e-09 -2.346700 -2.897640 0.004071
8054.517050 -999.000000 -1.988e-06 1.399e-09 -1.680650 -2.480270 0.001128
8563.372585 -999.000000 -4.822e-07 2.493e-09 -1.479550 -1.782140 -0.002671
9101.704337 -999.000000 1.842e-07 6.634e-10 -2.012320 -0.846775 -0.008528
9673.502330 -999.000000 -3.641e-07 1.346e-09 -2.632410 -0.145936 -0.015401
10283.275061 -999.000000 -1.748e-06 1.407e-09 -2.799080 -0.170782 -0.019578
10936.536727 -999.000000 -4.298e-06 1.157e-09 -3.030410 -0.144115 -0.018929
11641.078421 -999.000000 -1.171e-06 9.448e-10 -3.730770 1.045830 -0.015660
12407.742705 -999.000000 2.494e-07 -7.107e-11 -3.032550 1.777960 -0.011937
13252.082089 -999.000000 3.707e-06 -1.285e-10 1.292080 0.516832 -0.006270
14195.392847 -999.000000 1.036e-05 1.162e-10 5.488750 0.192138 0.000016
15272.980850 -999.000000 5.315e-06 -1.328e-11 3.117230 1.778330 0.001472
16560.370800 -999.000000 4.506e-06 2.711e-12 2.579410 2.980900 -0.000000
18207.912483 -999.000000 -0.000e+00 -0.000e+00 2.404160 2.656970 -0.000000
 278.625000,	40.000000,	1010.000000,	day,	nlevels,	pres0
84.902535 -999.000000 3.275e-06 -3.910e-09 -1.086510 0.029853 0.000000
94.902535 -999.000000 3.275e-06 -3.910e-09 -1.086510 0.029853 0.000000
104.902535 -999.000000 3.275e-06 -3.910e-09 -1.086510 0.029853 0.000135
328.728134 -999.000000 4.752e-06 -4.718e-09 -1.432230 0.042509 0.000169
556.548444 -999.000000 5.734e-06 -5.108e-10 -2.035930 -0.005697 -0.000004
788.669548 -999.000000 -4.248e-06 1.974e-08 -4.001920 -0.382802 -0.000183
1025.900384 -999.000000 -1.695e-05 3.065e-08 -6.308020 -0.963177 -0.000253
1268.662597 -999.000000 -1.823e-05 2.465e-08 -7.864610 -1.607160 -0.000595
1517.359095 -999.000000 -1.242e-05 -8.455e-10 -8.463900 -2.320600 -0.001371
1771.993001 -999.000000 -1.473e-05 -9.795e-09 -8.063330 -2.997110 -0.002030
2033.073414 -999.000000 -1.965e-05 -3.156e-09 -7.362260 -3.470810 -0.001875
2300.909542 -999.000000 -2.041e-05 -3.733e-09 -6.751040 -3.376320 -0.000820
2575.907414 -999.000000 -2.098e-05 -5.540e-09 -6.267850 -2.840690 0.000617
2858.688569 -999.000000 -1.824e-05 -1.002e-08 -6.076380 -2.181750 0.001998
3149.755859 -999.000000 -1.535e-05 -1.421e-08 -5.989400 -1.545070 0.003294
3449.521562 -999.000000 -1.156e-05 -2.011e-08 -6.401240 -1.134120 0.004683
3758.810229 -999.000000 -8.257e-06 -2.474e-08 -6.833750 -0.766983 0.006246
4078.121590 -999.000000 -6.759e-06 -2.395e-08 -6.964190 -0.472037 0.007942
4408.289570 -999.000000 -6.818e-06 -2.212e-08 -6.935620 -0.250713 0.009811
4750.016911 -999.000000 -1.066e-05 -1.463e-08 -6.367130 -0.334242 0.011970
5104.743458 -999.000000 -1.323e-05 -8.380e-09 -5.738710 -0.536377 0.014227
5473.078257 -999.000000 -1.073e-05 -8.581e-09 -5.318450 -0.983180 0.016159
5856.667291 -999.000000 -7.739e-06 -8.256e-09 -4.983810 -1.477940 0.017295
6256.525635 -999.000000 -4.968e-06 -1.031e-08 -4.790400 -1.940680 0.017361
6674.296148 -999.000000 -2.498e-06 -1.024e-08 -4.411140 -2.369980 0.016329
7111.715390 -999.000000 -2.384e-06 -3.747e-09 -3.302460 -2.718960 0.014468
7570.732305 -999.000000 -3.144e-06 -1.819e-09 -2.152710 -2.844740 0.012140
8053.594112 -999.000000 -2.026e-06 1.315e-09 -1.519180 -2.403390 0.009474
8562.552717 -999.000000 -7.062e-07 2.387e-09 -1.367090 -1.700960 0.005687
9101.090607 -999.000000 -3.674e-07 6.809e-10 -1.963250 -0.844136 -0.000385
9672.991670 -999.000000 -1.015e-06 1.341e-09 -2.643380 -0.238175 -0.007527
10282.964292 -999.000000 -2.217e-06 1.492e-09 -2.850990 -0.322996 -0.011735
10936.332150 -999.000000 -4.563e-06 1.326e-09 -3.143310 -0.299794 -0.010798
11641.079983 -999.000000 -2.074e-06 8.425e-10 -3.893830 0.927069 -0.007252
12407.947281 -999.000000 -1.676e-06 -1.796e-11 -3.062220 1.578080 -0.003870
13252.492804 -999.000000 4.271e-06 -1.192e-10 1.454600 0.197631 0.000078
14196.109647 -999.000000 9.907e-06 1.177e-10 5.717640 -0.186220 0.003425
15273.388442 -999.000000 5.566e-06 -1.206e-11 3.358450 1.397360 0.002385
16560.064716 -999.000000 4.459e-06 8.456e-14 2.845020 2.697390 -0.000000
18206.891162 -999.000000 -0.000e+00 -0.000e+00 2.669920 2.452040 -0.000000
 278.645833,	40.000000,	1010.000000,	day,	nlevels,	pres0
79.480473 -999.000000 2.090e-06 -6.425e-09 -1.237860 -0.091329 0.000000
89.480473 -999.000000 2.090e-06 -6.425e-09 -1.237860 -0.091329 0.000000
99.480473 -999.000000 2.090e-06 -6.425e-09 -1.237860 -0.091329 0.000607
323.715226 -999.000000 4.192e-06 -7.503e-09 -1.631530 -0.094878 0.001263
551.841619 -999.000000 5.252e-06 -4.639e-09 -2.157490 -0.118650 0.001737
784.368753 -999.000000 -7.730e-07 1.270e-08 -3.870640 -0.359120 0.001899
1021.808851 -999.000000 -1.264e-05 2.914e-08 -6.196250 -0.914898 0.001712
1264.671010 -999.000000 -1.262e-05 2.057e-08 -7.814640 -1.610690 0.001001
1513.267562 -999.000000 -9.718e-06 -1.513e-09 -8.354900 -2.283800 -0.000117
1768.001414 -999.000000 -1.392e-05 -9.423e-09 -7.992230 -2.874770 -0.001000
2029.184896 -999.000000 -2.013e-05 -2.467e-09 -7.378130 -3.263680 -0.001003
2297.021024 -999.000000 -2.246e-05 -1.418e-09 -6.836880 -3.110160 -0.000055
2572.121965 -999.000000 -2.379e-05 -1.700e-09 -6.370700 -2.533820 0.001365
2854.899997 -999.000000 -1.931e-05 -6.828e-09 -6.141000 -1.855780 0.002788
3145.970410 -999.000000 -1.506e-05 -1.135e-08 -6.012040 -1.206090 0.004112
3445.839182 -999.000000 -1.092e-05 -1.766e-08 -6.397770 -0.807101 0.005454
3755.224672 -999.000000 -7.433e-06 -2.294e-08 -6.803030 -0.459693 0.006860
4074.645349 -999.000000 -5.886e-06 -2.289e-08 -6.887920 -0.207316 0.008298
4404.910151 -999.000000 -5.760e-06 -2.149e-08 -6.816730 -0.028299 0.009860
4746.843630 -999.000000 -8.938e-06 -1.478e-08 -6.236360 -0.134362 0.011750
5101.670123 -999.000000 -1.089e-05 -9.090e-09 -5.606710 -0.350140 0.013888
5470.314130 -999.000000 -8.488e-06 -9.163e-09 -5.204120 -0.790239 0.015894
5853.903164 -999.000000 -6.047e-06 -8.735e-09 -4.871640 -1.286600 0.017388
6253.867700 -999.000000 -4.595e-06 -1.026e-08 -4.605340 -1.798950 0.018085
6671.841228 -999.000000 -3.434e-06 -9.958e-09 -4.144370 -2.278210 0.017843
7109.363540 -999.000000 -3.944e-06 -3.165e-09 -2.991130 -2.636030 0.016746
7568.686538 -999.000000 -4.576e-06 -1.071e-09 -1.825180 -2.748740 0.015027
8051.548346 -999.000000 -2.913e-06 1.648e-09 -1.225090 -2.268480 0.012881
8560.813034 -999.000000 -1.217e-06 2.445e-09 -1.120110 -1.559600 0.009464
9099.557063 -999.000000 -7.781e-07 7.359e-10 -1.754570 -0.800222 0.003529
9671.764210 -999.000000 -1.297e-06 1.256e-09 -2.468040 -0.295547 -0.003610
10281.841462 -999.000000 -2.687e-06 1.629e-09 -2.705610 -0.397775 -0.007609
10935.412336 -999.000000 -5.074e-06 1.656e-09 -3.069290 -0.299188 -0.006056
11640.363183 -999.000000 -2.447e-06 9.386e-10 -3.855570 0.988426 -0.001813
12407.433497 -999.000000 -2.116e-06 4.226e-11 -2.822740 1.468470 0.001517
13252.288227 -999.000000 4.146e-06 -6.282e-11 1.897160 -0.104711 0.003981
14196.109647 -999.000000 8.887e-06 1.569e-10 6.146260 -0.490186 0.005095
15273.285373 -999.000000 5.292e-06 -9.751e-12 3.734590 1.163890 0.002673
16559.346355 -999.000000 4.296e-06 -8.048e-13 3.201520 2.588550 0.000000
18205.048410 -999.000000 -0.000e+00 -0.000e+00 3.024400 2.431380 0.000000
 278.666667,	40.000000,	1010.000000,	day,	nlevels,	pres0
74.158357 -999.000000 1.003e-06 -9.328e-09 -1.387710 -0.211946 0.000000
84.158357 -999.000000 1.003e-06 -9.328e-09 -1.387710 -0.211946 0.000000
94.158357 -999.000000 1.003e-06 -9.328e-09 -1.387710 -0.211946 0.001177
318.599248 -999.000000 3.794e-06 -1.049e-08 -1.829690 -0.232080 0.002607
547.237864 -999.000000 5.104e-06 -9.698e-09 -2.277490 -0.230965 0.003903
779.968013 -999.000000 3.280e-06 4.968e-09 -3.737480 -0.334478 0.004597
1017.611125 -999.000000 -8.450e-06 2.870e-08 -6.086960 -0.864761 0.004468
1260.476408 -999.000000 -6.969e-06 1.666e-08 -7.764680 -1.614420 0.003542
1509.172906 -999.000000 -6.909e-06 -1.964e-09 -8.245050 -2.248010 0.002219
1764.009827 -999.000000 -1.299e-05 -8.921e-09 -7.920360 -2.753660 0.001240
2025.193309 -999.000000 -2.035e-05 -1.827e-09 -7.393120 -3.058160 0.001196
2293.132506 -999.000000 -2.405e-05 7.398e-10 -6.921770 -2.845660 0.002147
2568.233447 -999.000000 -2.612e-05 2.046e-09 -6.473090 -2.228270 0.003649
2851.114548 -999.000000 -2.013e-05 -3.672e-09 -6.205000 -1.530740 0.005189
3142.181838 -999.000000 -1.461e-05 -8.612e-09 -6.033920 -0.867722 0.006600
3442.153679 -999.000000 -1.009e-05 -1.530e-08 -6.393340 -0.480813 0.007929
3751.542292 -999.000000 -6.364e-06 -2.119e-08 -6.771170 -0.153184 0.009205
4071.162861 -999.000000 -4.752e-06 -2.179e-08 -6.810670 0.057103 0.010400
4401.430786 -999.000000 -4.432e-06 -2.073e-08 -6.697010 0.194242 0.011688
4743.670349 -999.000000 -7.067e-06 -1.483e-08 -6.104890 0.065687 0.013334
5098.599912 -999.000000 -8.530e-06 -9.733e-09 -5.474130 -0.163702 0.015368
5467.350111 -999.000000 -6.264e-06 -9.705e-09 -5.089130 -0.597142 0.017476
5851.142160 -999.000000 -4.347e-06 -9.184e-09 -4.758720 -1.095140 0.019319
6251.203519 -999.000000 -4.120e-06 -1.018e-08 -4.419480 -1.657100 0.020641
6669.383185 -999.000000 -4.171e-06 -9.651e-09 -3.876760 -2.186270 0.021174
7107.114758 -999.000000 -5.249e-06 -2.595e-09 -2.679480 -2.553080 0.020799
7566.434634 -999.000000 -5.697e-06 -3.967e-10 -1.497720 -2.652830 0.019669
8049.499456 -999.000000 -3.568e-06 1.925e-09 -0.931397 -2.133800 0.017984
8558.868775 -999.000000 -1.582e-06 2.457e-09 -0.873680 -1.418560 0.014883
9097.817380 -999.000000 -1.074e-06 7.390e-10 -1.546340 -0.756452 0.009003
9670.229104 -999.000000 -1.491e-06 1.134e-09 -2.293050 -0.352952 0.001761
10280.713948 -999.000000 -3.103e-06 1.757e-09 -2.560420 -0.472533 -0.002161
10934.490961 -999.000000 -5.523e-06 2.005e-09 -2.995360 -0.298541 -0.000153
11639.541754 -999.000000 -2.708e-06 1.038e-09 -3.817290 1.049850 0.004589
12406.922836 -999.000000 -2.466e-06 9.494e-11 -2.583210 1.358870 0.007631
13252.185158 -999.000000 4.202e-06 1.113e-12 2.339810 -0.407052 0.008326
